# nf=1.000065778992348 mu=3.5 T=0.42 TrSigmaG=0.73192398870932 Epot=0.73192398870932 Ekin=-1.3281723525 mom=[]
1.319468914507713 3.520106676820736 -1.396933930656602  3.483009815839613 -1.389309026924418  
3.958406743523139 3.5252098100972 -1.473085111540802  3.48369852605368 -1.470639418721173  
6.597344572538566 3.515774600473859 -1.238287556907209  3.481597818019768 -1.252097374953127  
9.236282401553991 3.510676836912972 -1.047129383978767  3.471152671002519 -1.033350837357485  
11.87522023056942 3.523076197972009 -0.8835037813187577  3.498787362329426 -0.9066119949999557  
14.51415805958484 3.521468207181399 -0.7548518990460904  3.488035919508163 -0.7829211011224483  
17.15309588860027 3.523756432298621 -0.6256105723459815  3.456735739259426 -0.6567971836743156  
19.79203371761569 3.495789318868614 -0.5620284511768271  3.475852014904187 -0.5561223069823027  
22.43097154663112 3.49971297739134 -0.5320224575312448  3.483380579522216 -0.5038043000429138  
25.06990937564655 3.519986139365307 -0.4992668080252838  3.479037844879143 -0.4637851753601245  
27.70884720466198 3.538987034631492 -0.4591031250213946  3.471528236146243 -0.4230299145724881  
30.3477850336774 3.550697215308649 -0.4167471314666527  3.465365906967852 -0.3823257480718874  
32.98672286269283 3.555398981414221 -0.3768917982277198  3.461650850496462 -0.3446545079852668  
35.62566069170826 3.555239582697527 -0.3418232286870322  3.460102302513501 -0.3117198105970647  
38.26459852072368 3.552313004365958 -0.3120542354135394  3.460116136621315 -0.2838768584225426  
40.90353634973911 3.548131841675448 -0.287189963726973  3.461140236161842 -0.2607211069508592  
43.54247417875453 3.543637648148274 -0.2664998384394157  3.462760535218026 -0.2415531471866095  
46.18141200776996 3.53935246377607 -0.2492132601614334  3.464692312531142 -0.2256369588825465  
48.82034983678539 3.535528192481761 -0.2346433604910695  3.466749971595033 -0.2123132134006422  
51.45928766580081 3.532256120519056 -0.222223091332329  3.468817011894057 -0.2010346440410857  
54.09822549481623 3.529539262467362 -0.2115026645850007  3.470823723946118 -0.1913654250853236  
56.73716332383167 3.527336119316181 -0.2021324122863783  3.472731079619468 -0.1829661912693704  
59.37610115284709 3.525587671357288 -0.193842755643533  3.474518863487277 -0.1755740811500276  
62.01503898186252 3.524223848532857 -0.1864285139243032  3.476181666631327 -0.1689956385026437  
64.65397681087794 3.523204035801561 -0.179727159419666  3.477711169779687 -0.163052855866654  
67.29291463989337 3.522403796843296 -0.1736213002725677  3.479141106500794 -0.1577018504818946  
69.9318524689088 3.521953044461679 -0.1680218614078744  3.480398890075348 -0.1526758669119161  
72.57079029792422 3.521441941792374 -0.1627928363192259  3.481667175018524 -0.1482323862334466  
75.20972812693964 3.521415569658351 -0.1580705546782474  3.482660395082957 -0.1438621308233156  
77.84866595595507 3.521201920049806 -0.1534206572474989  3.483739966558293 -0.1399346099010897  
80.4876037849705 3.521167704506805 -0.1492931755867886  3.48467396442909 -0.1362689546366841  
83.12654161398594 3.521368227694176 -0.1453454589600222  3.485430533988787 -0.1326828127909307  
85.76547944300135 3.521459050443622 -0.141461661394427  3.486275930068591 -0.1293204089032341  
88.40441727201677 3.521534450963223 -0.1379350568771373  3.487038214869029 -0.1262579335996041  
91.0433551010322 3.521798973069981 -0.1346488948086065  3.48763324476051 -0.1232761148199519  
93.68229293004764 3.522118272620432 -0.1313933721208067  3.488221055493566 -0.1203314276587257  
96.32123075906306 3.522338199188667 -0.1282430944669573  3.48885174707163 -0.11760079739181  
98.96016858807849 3.52250849645241 -0.1253420155294184  3.489399855959078 -0.1150433787730804  
101.5991064170939 3.522807490880062 -0.1225977721868921  3.489842026055675 -0.1125960861289698  
104.2380442461093 3.523128528006502 -0.1199971006792312  3.490286307464571 -0.1101693855108908  
106.8769820751248 3.523495648843505 -0.1173355149131839  3.490680320106105 -0.1078414981625702  
109.5159199041402 3.523688538646756 -0.1148143484453749  3.491149932040559 -0.1055866374303443  
112.1548577331556 3.523920264773624 -0.112493298509836  3.491525443589944 -0.1035381494930646  
114.793795562171 3.524205925217506 -0.1102711224882377  3.491815134974434 -0.1015538921958891  
117.4327333911865 3.524483384456633 -0.1081402366025789  3.492135012947035 -0.09956674922748697  
120.0716712202019 3.524802799784942 -0.1060398507366019  3.492446848612124 -0.09764614275579439  
122.7106090492173 3.525107111130455 -0.1039317870617181  3.492719809697479 -0.09579094932250787  
125.3495468782328 3.525312269063019 -0.1019227479709243  3.492997927663668 -0.09400672583813451  
127.9884847072482 3.525480896304054 -0.1000904537754752  3.493278760665568 -0.09233907466931417  
130.6274225362636 3.525709326139445 -0.09835774369097147  3.493513807207717 -0.09076162078644258  
133.266360365279 3.525984942477076 -0.09662420550598236  3.49370127407407 -0.08919146422750396  
135.9052981942944 3.526242446446473 -0.09489487906021156  3.493887234570344 -0.0876098228725409  
138.5442360233099 3.526465255718903 -0.0932299536819146  3.494095983905053 -0.086076545435774  
141.1831738523253 3.526676587127384 -0.09164650837628439  3.494307467988449 -0.08463747521214372  
143.8221116813407 3.526881794077791 -0.09011532707522131  3.494495111398326 -0.08327347320851131  
146.4610495103562 3.527062293964846 -0.08861907631100539  3.494657728333594 -0.08194189488890188  
149.0999873393716 3.527216830554233 -0.08717438072972249  3.494809561187373 -0.0806271296187815  
151.738925168387 3.527367702028529 -0.08580036659386367  3.494961269950795 -0.07935138482511164  
154.3778629974024 3.527553486677417 -0.08448886544548304  3.495103496464038 -0.07812214620888708  
