(1.1938052083641213+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(3.581415625092364+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(5.969026041820607+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(8.356636458548849+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(10.744246875277092+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(13.131857292005334+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(15.519467708733579+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(17.90707812546182+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(20.294688542190062+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(22.682298958918302+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(25.06990937564655+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(27.45751979237479+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(29.845130209103033+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(32.232740625831276+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(34.62035104255952+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(37.007961459287756+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(39.39557187601601+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(41.78318229274424+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(44.17079270947249+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(46.55840312620073+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(48.946013542928966+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(51.33362395965722+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(53.72123437638546+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(56.108844793113704+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(58.49645520984194+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(60.884065626570184+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(63.27167604329843+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(65.65928646002668+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(68.04689687675491+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(70.43450729348315+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(72.8221177102114+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(75.20972812693965+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(77.59733854366787+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(79.98494896039612+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(82.37255937712438+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(84.76016979385261+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(87.14778021058085+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(89.5353906273091+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(91.92300104403733+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(94.31061146076559+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(96.69822187749382+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(99.08583229422207+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
(101.47344271095031+0j)	(3.51+0j)	0j	(3.49+0j)	0j	
