129.025 -7.34507e-06 -0.00774061  3.62253 -0.116943  7.55991e-06 -0.00774223  3.37392 -0.0899327  
131.35 -7.07514e-06 -0.00760394  3.62231 -0.115014  7.35977e-06 -0.00760549  3.3728 -0.0882392  
133.675 -6.82168e-06 -0.007472  3.62213 -0.11316  7.16319e-06 -0.00747348  3.37179 -0.0866132  
136 -6.58214e-06 -0.00734456  3.62197 -0.11138  6.97082e-06 -0.00734598  3.37086 -0.0850438  
138.324 -6.35434e-06 -0.00722139  3.6218 -0.109661  6.78733e-06 -0.00722275  3.36993 -0.0835197  
140.649 -6.13822e-06 -0.00710228  3.62164 -0.107979  6.61006e-06 -0.00710359  3.36904 -0.0820627  
142.974 -5.93272e-06 -0.00698703  3.62148 -0.106336  6.44301e-06 -0.00698829  3.3681 -0.0806183  
145.299 -5.73785e-06 -0.00687546  3.62134 -0.104719  6.27762e-06 -0.00687666  3.36728 -0.079236  
147.623 -5.55147e-06 -0.00676739  3.62118 -0.103161  6.12095e-06 -0.00676855  3.36643 -0.0778499  
149.948 -5.37323e-06 -0.00666267  3.621 -0.10165  5.96791e-06 -0.00666378  3.36564 -0.076545  
152.273 -5.20287e-06 -0.00656113  3.62082 -0.100197  5.8203e-06 -0.0065622  3.36487 -0.0753047  
154.598 -5.04066e-06 -0.00646264  3.62065 -0.0987963  5.68013e-06 -0.00646367  3.36407 -0.0741196  
156.923 -4.88682e-06 -0.00636706  3.62051 -0.0974251  5.54251e-06 -0.00636805  3.36335 -0.0730085  
159.247 -4.74116e-06 -0.00627427  3.6204 -0.0960856  5.40851e-06 -0.00627522  3.36268 -0.0719146  
161.572 -4.60244e-06 -0.00618413  3.62031 -0.094775  5.27972e-06 -0.00618505  3.36201 -0.070818  
163.897 -4.46946e-06 -0.00609655  3.62022 -0.0934858  5.15372e-06 -0.00609744  3.36141 -0.0697399  
166.222 -4.34156e-06 -0.00601142  3.62011 -0.0922287  5.03174e-06 -0.00601227  3.36082 -0.0686864  
168.546 -4.21851e-06 -0.00592863  3.61999 -0.0910147  4.9151e-06 -0.00592945  3.36023 -0.0676446  
170.871 -4.09973e-06 -0.00584808  3.61984 -0.089832  4.80372e-06 -0.00584887  3.3596 -0.0666667  
173.196 -3.98595e-06 -0.00576969  3.61971 -0.0886863  4.69406e-06 -0.00577046  3.35905 -0.0657245  
175.521 -3.87726e-06 -0.00569338  3.61958 -0.0875725  4.58942e-06 -0.00569411  3.35847 -0.0648379  
177.846 -3.77339e-06 -0.00561905  3.61948 -0.0864922  4.48727e-06 -0.00561976  3.35794 -0.0639533  
180.17 -3.67375e-06 -0.00554664  3.61938 -0.085428  4.38862e-06 -0.00554733  3.35741 -0.0630976  
182.495 -3.57828e-06 -0.00547608  3.6193 -0.0843829  4.29228e-06 -0.00547674  3.35692 -0.062272  
184.82 -3.48665e-06 -0.00540728  3.61922 -0.0833666  4.19818e-06 -0.00540792  3.35647 -0.0614461  
187.145 -3.41702e-06 -0.0053402  3.61979 -0.082066  4.09394e-06 -0.00534081  3.35649 -0.0607366  
189.469 -3.34915e-06 -0.00527476  3.62035 -0.0808055  3.99353e-06 -0.00527534  3.35652 -0.0600434  
191.794 -3.283e-06 -0.00521091  3.62088 -0.079583  3.89678e-06 -0.00521145  3.35654 -0.0593658  
194.119 -3.21853e-06 -0.00514858  3.62139 -0.078397  3.80351e-06 -0.0051491  3.35656 -0.0587033  
196.444 -3.15571e-06 -0.00508772  3.62189 -0.0772458  3.71355e-06 -0.00508822  3.35658 -0.0580555  
