1.162389281828 3.628230408622 -1.240751687866   3.38158747251 -1.241451715119   
3.487167845485 3.632143111265 -1.452926220659   3.369033563468 -1.460101753371   
5.811946409141 3.634055935726 -1.284423244306   3.36665089881 -1.295498955939   
8.136724972798 3.63626930259 -1.122043361674   3.345171295392 -1.114947838671   
10.46150353645 3.663649755302 -0.9487798680064   3.334203332964 -0.9365639437293   
12.78628210011 3.633954027058 -0.8347357337042   3.344766782274 -0.8337099819187   
15.11106066377 3.627610340675 -0.7347353548916   3.387993874739 -0.7026277426983   
17.43583922742 3.651167578072 -0.6431520837367   3.306783661531 -0.6647633821682   
19.76061779108 3.677432159253 -0.5728574019565   3.320281249909 -0.5863247050867   
22.08539635474 3.680797000083 -0.5179102335417   3.340210737184 -0.5080008571941   
24.41017491839 3.668519396806 -0.4724755029573   3.342365540895 -0.4502693763661   
26.73495348205 3.652313581912 -0.4342004787594   3.336785050121 -0.4112507644412   
29.05973204571 3.638526806122 -0.4020552188154   3.333213429868 -0.3841787765565   
31.38451060936 3.628983692699 -0.3751244769615   3.335049111689 -0.3635652127884   
33.70928917302 3.623349472608 -0.3524647062304   3.341739903 -0.3461340641719   
36.03406773667 3.62062854135 -0.3332080306505   3.351414461275 -0.3302591662186   
38.35884630033 3.619829020631 -0.3166291604943   3.36225331502 -0.3152618796281   
40.68362486399 3.620173756617 -0.3021556898064   3.372938850892 -0.3009253155165   
43.00840342764 3.621120750876 -0.2893483331841   3.382678094479 -0.2872196478649   
45.3331819913 3.622318651708 -0.2778745349133   3.391078053228 -0.2741725285237   
47.65796055496 3.623554301539 -0.2674836825914   3.398013272621 -0.2618155586214   
49.98273911861 3.62470729899 -0.2579859061924   3.403516658921 -0.2501641805202   
52.30751768227 3.625717683521 -0.2492362561212   3.407709115413 -0.239216629297   
54.63229624593 3.626558959877 -0.2411241300186   3.410733934665 -0.228953225036   
56.95707480958 3.627239901623 -0.2335587277319   3.412808531264 -0.2193584528678   
59.28185337324 3.627736102073 -0.2264848651616   3.413918826041 -0.2103530652942   
61.6066319369 3.628149120747 -0.2198069799377   3.414676271213 -0.2020330182697   
63.93141050055 3.628328000025 -0.2135774430388   3.414201733976 -0.1940405322667   
66.25618906421 3.628538762509 -0.207572581482   3.414290244962 -0.1869346037039   
68.58096762787 3.628551182873 -0.2020339969857   3.412975493725 -0.1798359292189   
70.90574619152 3.628502460067 -0.1966557303129   3.411895710038 -0.1735136477208   
73.23052475518 3.628437753675 -0.1915627943494   3.410898527266 -0.1675745187831   
75.55530331883 3.62833616291 -0.18679113665   3.409131282016 -0.1617825625167   
77.88008188249 3.628098962791 -0.1821715272927   3.407345082223 -0.1564611549794   
80.20486044615 3.627858414612 -0.177735286587   3.405895548998 -0.1515724070709   
82.5296390098 3.627694864484 -0.1735660105518   3.404242328462 -0.1468736504982   
84.85441757346 3.627477871357 -0.1695788143354   3.402264039852 -0.1423386430923   
87.17919613712 3.62713039201 -0.165705961149   3.400338412975 -0.138130113245   
89.50397470077 3.626822048654 -0.162002810342   3.398691919935 -0.134218032949   
91.82875326443 3.626576609234 -0.1584840459692   3.396983277399 -0.1305925116555   
94.15353182809 3.626374328236 -0.1551221358822   3.395338345744 -0.126917567269   
96.47831039174 3.626080874214 -0.1518328024514   3.393323998199 -0.1235504301461   
98.8030889554 3.625728330897 -0.1487147257758   3.39172162 -0.1203007076671   
101.1278675191 3.625394401793 -0.1457117421759   3.3900873372 -0.1173193411568   
103.4526460827 3.625164941725 -0.1427920358767   3.388480093976 -0.1145191477049   
105.7774246464 3.624960785498 -0.1400047057803   3.387074785525 -0.1117174205085   
108.10220321 3.624702795606 -0.1373377247946   3.385557024579 -0.1090314456202   
110.4269817737 3.6244233906 -0.1347494020695   3.383935602593 -0.1065340042536   
112.7517603373 3.624141245436 -0.1322372574321   3.382486973788 -0.1041365949817   
115.076538901 3.623850250272 -0.1298136120186   3.381196291598 -0.1018249328079   
117.4013174647 3.623591643116 -0.1274786626235   3.379899354092 -0.09965855207117   
119.7260960283 3.623404304101 -0.1252299088649   3.378605289422 -0.09761644103561   
122.050874592 3.623248555777 -0.1230648582564   3.37740050072 -0.09561674796422   
124.3756531556 3.623050766333 -0.1209715096527   3.376259241813 -0.09363733079517   
126.7004317193 3.622795693933 -0.1189327769025   3.375099901824 -0.09172882810367   
129.0252102829 3.622533563988 -0.1169433354843   3.37392197756 -0.08993272277986   
131.3499888466 3.622313171772 -0.1150142702123   3.372804501729 -0.08823923407887   
133.6747674102 3.622134546094 -0.1131600748256   3.371788248333 -0.08661322873613   
135.9995459739 3.621972447424 -0.111379637236   3.370861034165 -0.08504376429585   
138.3243245376 3.621803603389 -0.1096609513251   3.369931699285 -0.08351969950623   
140.6491031012 3.621641849068 -0.1079790118863   3.369041612356 -0.08206270832247   
142.9738816649 3.621481413924 -0.106335924368   3.368102802644 -0.08061828477504   
145.2986602285 3.621336491837 -0.1047194435323   3.36728131299 -0.07923601826398   
147.6234387922 3.621175535395 -0.1031609025057   3.366425355688 -0.07784991289036   
149.9482173558 3.621002036341 -0.1016499646529   3.365636559402 -0.07654504087949   
152.2729959195 3.620821122948 -0.1001968614005   3.364870418325 -0.07530465011253   
154.5977744832 3.620650495614 -0.09879626110676   3.364072458606 -0.07411959299737   
156.9225530468 3.620507416047 -0.0974250945026   3.363351496705 -0.07300849012151   
159.2473316105 3.620400342491 -0.09608555080469   3.362679626814 -0.07191461755553   
161.5721101741 3.620310137035 -0.09477502071208   3.36201194196 -0.07081797372537   
163.8968887378 3.620215772399 -0.09348577760725   3.361405225115 -0.06973993003633   
166.2216673014 3.620107548576 -0.09222874574269   3.360824069847 -0.06868644888575   
168.5464458651 3.619986593424 -0.09101465947775   3.36022508949 -0.06764460104725   
170.8712244287 3.619843251699 -0.08983198118231   3.359602044603 -0.06666670803045   
173.1960029924 3.619705415968 -0.08868625747294   3.359052371682 -0.06572447773858   
175.5207815561 3.619584476826 -0.08757249409271   3.358473584097 -0.06483789186959   
177.8455601197 3.619480762087 -0.08649218536209   3.357937310243 -0.06395327829908   
180.1703386834 3.619383570501 -0.08542795761661   3.357407854512 -0.06309756654194   
182.495117247 3.619297918256 -0.08438289804658   3.35691897494 -0.06227197339922   
184.8198958107 3.619220247487 -0.08336656925065   3.356470727485 -0.06144606120882   
187.1446743743 3.619139653062 -0.08236786724996   3.355992745791 -0.06063822712246   
189.469452938 3.619052884626 -0.08138672664874   3.355533248915 -0.05985667100576   
191.7942315017 3.618963269222 -0.08043350601535   3.355126824022 -0.05909800525643   
194.1190100653 3.61888164611 -0.07950567130581   3.354722996941 -0.05836699857864   
196.443788629 3.618810529334 -0.0785981712876   3.354317484532 -0.05765020978842   
198.7685671926 3.618736734235 -0.07771324296231   3.353935274006 -0.05693739987447   
201.0933457563 3.618656215715 -0.07685036359169   3.353562067006 -0.05624482858382   
203.4181243199 3.61858063534 -0.07600488917178   3.353188639147 -0.05557876606404   
205.7429028836 3.618512475885 -0.07517585307719   3.352828460345 -0.05492183980429   
208.0676814473 3.618440061761 -0.07436484640818   3.352472644309 -0.05426900226194   
210.3924600109 3.618359920386 -0.07357042014039   3.352106712851 -0.0536379842493   
212.7172385746 3.618281000542 -0.07279064535093   3.351742887323 -0.05303549760796   
215.0420171382 3.618212104631 -0.07202519033717   3.351416050882 -0.05245382824694   
217.3667957019 3.618150627738 -0.07127707339405   3.351108205442 -0.05187877466617   
219.6915742655 3.618097726006 -0.07054403036831   3.350818961151 -0.05132103870742   
222.0163528292 3.618049158716 -0.06982797476355   3.350515457045 -0.05076909723299   
224.3411313928 3.618006546871 -0.06912346506912   3.350249283473 -0.05023456108729   
226.6659099565 3.617961348855 -0.06843473992755   3.349988733702 -0.04969662522995   
228.9906885202 3.617915760124 -0.06775750926063   3.349745011442 -0.04917281886862   
231.3154670838 3.617871402048 -0.06709353938483   3.349500263655 -0.04865860598445   
233.6402456475 3.617827269134 -0.06644377416359   3.34924123814 -0.04814907986773   
235.9650242111 3.617778118399 -0.06580505409431   3.34899714432 -0.04765158296809   
238.2898027748 3.617720313706 -0.06517934338198   3.348752539093 -0.04715913280091   
240.6145813384 3.617656180485 -0.06456465411058   3.348500656119 -0.04668177404015   
242.9393599021 3.61759612705 -0.06395957018599   3.348264571465 -0.04622516867588   
245.2641384658 3.617545368799 -0.06336724535807   3.34803063372 -0.04578138239824   
247.5889170294 3.617502583648 -0.06278869212046   3.347807296632 -0.045340044826   
249.9136955931 3.617459496726 -0.0622194948655   3.347591279278 -0.04491309238283   
252.2384741567 3.617417967702 -0.06166218364998   3.347389425428 -0.04448614254683   
254.5632527204 3.617377028314 -0.061112433947   3.347169403777 -0.04407323439373   
256.888031284 3.617341103694 -0.06057086371391   3.346972791962 -0.04366834922296   
259.2128098477 3.617312401836 -0.06003823602806   3.346787025556 -0.04327263213873   
261.5375884114 3.617287836084 -0.05951673529831   3.346603590338 -0.04288101572292   
263.862366975 3.617260307228 -0.05900542016403   3.346429388401 -0.04248972100033   
266.1871455387 3.617228343077 -0.05850009434216   3.346252455512 -0.04210946650491   
268.5119241023 3.61719518447 -0.05800244264457   3.346079578042 -0.04173532335235   
270.836702666 3.617160387732 -0.05751277719652   3.345909079272 -0.04136325279653   
273.1614812296 3.617124231603 -0.05702873012967   3.34573956921 -0.04100138483897   
275.4862597933 3.6170889554 -0.05655361425691   3.34558732121 -0.04064834858327   
277.8110383569 3.617054585424 -0.05609009990591   3.345443852047 -0.04029994832183   
280.1358169206 3.617020649504 -0.05563471786036   3.345291957632 -0.03995874392511   
282.4605954843 3.616987397392 -0.05518540502829   3.345142919107 -0.03962417548814   
284.7853740479 3.616955584462 -0.05474330994144   3.345004972796 -0.03929371752247   
287.1101526116 3.616926442953 -0.054308002769   3.34486472262 -0.03896698435528   
289.4349311752 3.616899251882 -0.05387844336925   3.344721484117 -0.03864349113234   
291.7597097389 3.616870196864 -0.05345635623485   3.344581658789 -0.03832307522922   
294.0844883025 3.616840179742 -0.05304247588528   3.344448011181 -0.03801296873564   
296.4092668662 3.616812799213 -0.0526363816362   3.344307706309 -0.03771155432598   
298.7340454299 3.61679064381 -0.05223551874655   3.344173582996 -0.0374170741675   
301.0588239935 3.616768650987 -0.05184071565616   3.344036220686 -0.03712082475444   
303.3836025572 3.616746773948 -0.05144975103887   3.343907875869 -0.03683249053064   
305.7083811208 3.616724972521 -0.05106396004341   3.343777274573 -0.03654671389449   
308.0331596845 3.616703680524 -0.05068284533753   3.343654473207 -0.03626518779533   
310.3579382481 3.616679578256 -0.05030796298352   3.343536111513 -0.03598639490959   
312.6827168118 3.616652367916 -0.04993994723545   3.343413122614 -0.03571388370629   
315.0074953754 3.616626206379 -0.04957700941083   3.343298796684 -0.03545378666147   
317.3322739391 3.616604399427 -0.04921975099642   3.343193562324 -0.03519756710863   
319.6570525028 3.616585929826 -0.04886728622271   3.343095083495 -0.03494268298722   
321.9818310664 3.616569320327 -0.04851888371862   3.343004796229 -0.03468861626413   
324.3066096301 3.61655237041 -0.04817476850434   3.342910154403 -0.03443583990984   
326.6313881937 3.616534916928 -0.04783508931101   3.342821632737 -0.03418349187664   
328.9561667574 3.616515505307 -0.04749931644372   3.342737039583 -0.03393667916117   
331.280945321 3.616495660283 -0.04716998989487   3.342655001487 -0.03368909064029   
333.6057238847 3.6164751752 -0.0468454215778   3.342562812241 -0.03344872734055   
335.9305024484 3.616456073365 -0.04652587216784   3.34247603305 -0.0332127777254   
338.255281012 3.616438664705 -0.04621111367429   3.342388423342 -0.03297935764956   
340.5800595757 3.616421920888 -0.04590016043523   3.342300722097 -0.03274893124936   
342.9048381393 3.616405958734 -0.04559274304437   3.342219205851 -0.03252025504172   
345.229616703 3.616391394883 -0.04528868951086   3.342132393377 -0.03229499450852   
347.5543952666 3.616376882334 -0.04498888872101   3.342042795763 -0.03207071853067   
349.8791738303 3.616359785178 -0.04469299653066   3.341954962793 -0.03184854053403   
352.203952394 3.616340291311 -0.04440069290796   3.341866443045 -0.03163219528805   
354.5287309576 3.616320142172 -0.0441131707708   3.341778841315 -0.03142005828637   
356.8535095213 3.616300683569 -0.04382986678147   3.341691119628 -0.031212783315   
359.1782880849 3.616283636875 -0.043549920396   3.341605378976 -0.03101164382358   
361.5030666486 3.616268813629 -0.04327443200228   3.341525768226 -0.03081240630403   
363.8278452122 3.616253880454 -0.04300292988355   3.341447824655 -0.03061387164322   
366.1526237759 3.616238026395 -0.04273358681126   3.341369216153 -0.03041896787171   
368.4774023395 3.616222992298 -0.04246660498981   3.341297619637 -0.03022829887178   
370.8021809032 3.616209748498 -0.04220329497448   3.341230005524 -0.03003931027797   
373.1269594669 3.616198362721 -0.0419429775592   3.341164431249 -0.02985287575537   
375.4517380305 3.616186767837 -0.04168592193363   3.341100064398 -0.02966693383712   
377.7765165942 3.616174535828 -0.04143216370312   3.341043964762 -0.02948383456904   
380.1012951578 3.616161591954 -0.04118208238072   3.340984200187 -0.02930159007427   
382.4260737215 3.61614994921 -0.04093397604846   3.340926052359 -0.0291231759972   
384.7508522851 3.616139045516 -0.04068873747278   3.340869557626 -0.02894497016934   
387.0756308488 3.616129069484 -0.04044658209716   3.340817528226 -0.02876904926831   
389.4004094125 3.616119950483 -0.04020742126635   3.34076590632 -0.02859497428371   
391.7251879761 3.616110631865 -0.03997094816127   3.340710244938 -0.02842050525544   
394.0499665398 3.616099773964 -0.03973633461255   3.340656096739 -0.028248124622   
396.3747451034 3.616087931515 -0.03950412307335   3.34060126379 -0.02807774577401   
398.6995236671 3.616076881301 -0.03927408162064   3.340545547679 -0.02791104689229   
401.0243022307 3.616067500031 -0.03904658285222   3.340494544653 -0.02774574095844   
403.3490807944 3.616057727841 -0.03882232446477   3.340441978924 -0.02758115217954   
405.673859358 3.616047236856 -0.03860135718609   3.340390947875 -0.02741828605945   
407.9986379217 3.616036442099 -0.03838273114053   3.340338183243 -0.0272600282913   
410.3234164854 3.616026323486 -0.03816703752817   3.340286287846 -0.02710110604051   
412.648195049 3.616015419641 -0.03795328077454   3.340231857781 -0.02694414025746   
414.9729736127 3.61600357244 -0.03774199385382   3.340179135122 -0.02678891954125   
417.2977521763 3.615991396639 -0.03753346603379   3.340124502044 -0.02663643278197   
419.62253074 3.615979444698 -0.03732738458815   3.340071077683 -0.02648793520308   
421.9473093036 3.615968011217 -0.03712415653996   3.340022215873 -0.0263409863955   
424.2720878673 3.615956811581 -0.03692344240246   3.33997013961 -0.02619623980848   
426.596866431 3.615945965109 -0.03672478752772   3.339918422705 -0.02605399577574   
428.9216449946 3.615936068563 -0.03652791711585   3.339871136367 -0.0259137856432   
431.2464235583 3.615927356467 -0.03633303142399   3.339825759383 -0.02577493059739   
433.5712021219 3.615919024496 -0.03614065232671   3.339782960173 -0.0256362734398   
435.8959806856 3.615910588837 -0.03595052253312   3.339740975423 -0.02549945545892   
438.2207592492 3.615902662578 -0.0357625807986   3.339698569158 -0.02536523678943   
440.5455378129 3.615895146322 -0.03557702317618   3.339657825871 -0.02523169527208   
442.8703163766 3.615887635711 -0.03539303279435   3.339618702225 -0.02509922797128   
445.1950949402 3.615880383821 -0.03521032119038   3.339579541914 -0.02496794967657   
447.5198735039 3.615873361944 -0.03502934566722   3.33954070164 -0.02483687454927   
449.8446520675 3.615865537415 -0.03485003964927   3.339499590483 -0.02470615811297   
452.1694306312 3.615857103088 -0.03467193395027   3.339460367966 -0.02457823677246   
454.4942091948 3.615848333502 -0.03449597553658   3.339422524224 -0.02445157470879   
456.8189877585 3.615840329677 -0.0343218821742   3.339386451544 -0.02432746890559   
459.1437663221 3.61583340863 -0.03414936572237   3.339347873894 -0.02420468460578   
461.4685448858 3.615828148818 -0.03397801513655   3.339313372556 -0.02408372108953   
463.7933234495 3.615823453635 -0.03380843770082   3.339280409022 -0.02396190949216   
466.1181020131 3.615818584111 -0.03364005078273   3.339246929876 -0.02384025346227   
468.4428805768 3.615813134006 -0.03347262250746   3.339214350638 -0.0237195968917   
470.7676591404 3.615807208472 -0.03330695069924   3.339182019894 -0.02359948451502   
473.0924377041 3.615801161738 -0.03314307033543   3.339149946528 -0.0234813812172   
475.4172162677 3.615794872803 -0.03298106370283   3.339116233172 -0.02336391687511   
477.7419948314 3.615787672215 -0.03282059519712   3.339082369452 -0.02324793461276   
480.0667733951 3.615780100339 -0.03266170768286   3.339051612833 -0.02313360864152   
482.3915519587 3.615772884621 -0.03250428751538   3.339018784025 -0.02302108762589   
484.7163305224 3.615766670738 -0.03234824996406   3.338987250724 -0.02290891143752   
487.041109086 3.615760249748 -0.03219354117199   3.3389561052 -0.02279781073823   
489.3658876497 3.615753131326 -0.03204091354101   3.33892605148 -0.0226866982336   
491.6906662133 3.615745389377 -0.03188979759112   3.338894725236 -0.02257822644082   
494.015444777 3.61573782306 -0.0317403365941   3.338864344483 -0.0224712490527   
496.3402233407 3.615730725571 -0.03159264891129   3.338834022215 -0.02236535505148   
498.6650019043 3.615724473198 -0.03144646167195   3.338804981517 -0.02226197645874   
500.989780468 3.615719677747 -0.03130201701061   3.338778594734 -0.02215933964046   
503.3145590316 3.615715636503 -0.03115902269046   3.338751300878 -0.02205672158704   
505.6393375953 3.615711078343 -0.03101722122679   3.338724849002 -0.02195408558039   
507.9641161589 3.615705675652 -0.03087659425743   3.338698710366 -0.02185210303273   
510.2888947226 3.615700064992 -0.03073710658068   3.338671023792 -0.02175176597792   
512.6136732862 3.615694630364 -0.03059898441693   3.338645090313 -0.02165232878356   
