159.75 -1.21248e-05 -0.00625272  5.31006 -0.142215  1.05426e-05 -0.0062505  4.73023 -0.199224  
162.577 -1.17356e-05 -0.00614423  5.3108 -0.139551  1.01627e-05 -0.0061421  4.73069 -0.196092  
165.405 -1.13667e-05 -0.00603943  5.31157 -0.136999  9.80157e-06 -0.00603739  4.73117 -0.193068  
168.232 -1.10158e-05 -0.00593814  5.31235 -0.134531  9.45892e-06 -0.00593618  4.73164 -0.190156  
171.06 -1.06822e-05 -0.00584018  5.31314 -0.132219  9.13242e-06 -0.00583831  4.73215 -0.187313  
173.887 -1.03608e-05 -0.0057454  5.31382 -0.129964  8.82518e-06 -0.00574361  4.73255 -0.184551  
176.715 -1.00534e-05 -0.00565365  5.31447 -0.127827  8.53305e-06 -0.00565193  4.73294 -0.181838  
179.542 -9.75763e-06 -0.00556478  5.31505 -0.125697  8.25719e-06 -0.00556313  4.73326 -0.179189  
182.369 -9.47442e-06 -0.00547866  5.3156 -0.123598  7.99435e-06 -0.00547707  4.73357 -0.176615  
185.197 -9.20449e-06 -0.00539516  5.31618 -0.121565  7.74239e-06 -0.00539363  4.73392 -0.174104  
188.024 -8.94538e-06 -0.00531416  5.31671 -0.119584  7.50228e-06 -0.0053127  4.73425 -0.171678  
190.852 -8.69707e-06 -0.00523556  5.31724 -0.117704  7.2727e-06 -0.00523415  4.73459 -0.169339  
193.679 -8.45941e-06 -0.00515925  5.31777 -0.11593  7.05305e-06 -0.00515789  4.73494 -0.167066  
196.507 -8.23073e-06 -0.00508513  5.31826 -0.114224  6.84428e-06 -0.00508382  4.73524 -0.164859  
199.334 -8.01111e-06 -0.0050131  5.31873 -0.112552  6.645e-06 -0.00501185  4.73551 -0.162711  
202.161 -7.80052e-06 -0.00494309  5.31921 -0.110934  6.45428e-06 -0.00494188  4.73577 -0.160592  
204.989 -7.59852e-06 -0.00487501  5.31969 -0.109318  6.27125e-06 -0.00487384  4.73604 -0.158504  
207.816 -7.40307e-06 -0.00480877  5.32011 -0.107754  6.09691e-06 -0.00480765  4.73627 -0.156453  
210.644 -7.2153e-06 -0.00474431  5.32052 -0.106202  5.92894e-06 -0.00474322  4.73652 -0.154453  
213.471 -7.03391e-06 -0.00468155  5.3209 -0.104726  5.76801e-06 -0.00468051  4.73675 -0.152493  
216.299 -6.85888e-06 -0.00462043  5.32125 -0.103308  5.61376e-06 -0.00461942  4.73697 -0.150603  
219.126 -6.69007e-06 -0.00456088  5.32158 -0.101921  5.46572e-06 -0.00455991  4.73718 -0.148782  
221.954 -6.52715e-06 -0.00450285  5.32189 -0.100581  5.32375e-06 -0.00450191  4.73736 -0.14701  
224.781 -6.37077e-06 -0.00444627  5.32222 -0.0992783  5.18675e-06 -0.00444537  4.73757 -0.145291  
227.608 -6.20985e-06 -0.0043911  5.32203 -0.0981716  5.0835e-06 -0.00439024  4.73629 -0.142933  
230.436 -6.05498e-06 -0.00433728  5.32184 -0.0970894  4.98284e-06 -0.00433646  4.73506 -0.14065  
233.263 -5.90587e-06 -0.00428476  5.32166 -0.0960307  4.88471e-06 -0.00428398  4.73388 -0.138439  
236.091 -5.76224e-06 -0.00423349  5.32148 -0.0949949  4.78906e-06 -0.00423276  4.73273 -0.136297  
238.918 -5.62382e-06 -0.00418344  5.32131 -0.0939812  4.69584e-06 -0.00418274  4.73163 -0.134219  
241.746 -5.49035e-06 -0.00413456  5.32115 -0.0929889  4.60498e-06 -0.00413389  4.73056 -0.132205  
244.573 -5.36161e-06 -0.0040868  5.32099 -0.0920173  4.51642e-06 -0.00408617  4.72954 -0.130249  
247.4 -5.23737e-06 -0.00404014  5.32084 -0.0910659  4.43011e-06 -0.00403953  4.72854 -0.128351  
250.228 -5.11743e-06 -0.00399453  5.32069 -0.0901339  4.34598e-06 -0.00399395  4.72758 -0.126507  
253.055 -5.00158e-06 -0.00394994  5.32055 -0.0892207  4.26399e-06 -0.00394938  4.72666 -0.124716  
255.883 -4.88964e-06 -0.00390633  5.32041 -0.0883259  4.18407e-06 -0.0039058  4.72576 -0.122975  
258.71 -4.78144e-06 -0.00386367  5.32028 -0.0874489  4.10617e-06 -0.00386317  4.72489 -0.121281  
261.538 -4.67681e-06 -0.00382194  5.32015 -0.0865891  4.03023e-06 -0.00382145  4.72405 -0.119634  
264.365 -4.57559e-06 -0.00378109  5.32002 -0.0857461  3.95619e-06 -0.00378063  4.72324 -0.11803  
267.192 -4.47764e-06 -0.00374111  5.3199 -0.0849193  3.88401e-06 -0.00374067  4.72245 -0.116469  
270.02 -4.38282e-06 -0.00370197  5.31978 -0.0841083  3.81362e-06 -0.00370155  4.72169 -0.114949  
272.847 -4.29099e-06 -0.00366363  5.31967 -0.0833127  3.74499e-06 -0.00366323  4.72095 -0.113468  
275.675 -4.20204e-06 -0.00362609  5.31956 -0.0825319  3.67806e-06 -0.0036257  4.72023 -0.112025  
278.502 -4.11583e-06 -0.0035893  5.31945 -0.0817657  3.61277e-06 -0.00358893  4.71954 -0.110618  
281.33 -4.03226e-06 -0.00355325  5.31935 -0.0810136  3.54909e-06 -0.0035529  4.71887 -0.109246  
284.157 -3.95122e-06 -0.00351792  5.31925 -0.0802751  3.48697e-06 -0.00351758  4.71821 -0.107907  
286.984 -3.87262e-06 -0.00348329  5.31915 -0.07955  3.42636e-06 -0.00348296  4.71758 -0.106601  
289.812 -3.79634e-06 -0.00344932  5.31906 -0.0788379  3.36722e-06 -0.00344901  4.71696 -0.105326  
292.639 -3.72231e-06 -0.00341602  5.31897 -0.0781385  3.3095e-06 -0.00341572  4.71636 -0.104082  
295.467 -3.65043e-06 -0.00338335  5.31888 -0.0774513  3.25317e-06 -0.00338306  4.71578 -0.102866  
298.294 -3.58062e-06 -0.0033513  5.31879 -0.0767761  3.19818e-06 -0.00335102  4.71522 -0.101678  
301.122 -3.5128e-06 -0.00331985  5.31871 -0.0761126  3.1445e-06 -0.00331959  4.71467 -0.100518  
303.949 -3.4469e-06 -0.00328899  5.31862 -0.0754604  3.09209e-06 -0.00328873  4.71413 -0.0993835  
306.777 -3.38284e-06 -0.0032587  5.31854 -0.0748194  3.04091e-06 -0.00325845  4.71361 -0.0982745  
309.604 -3.32056e-06 -0.00322895  5.31847 -0.0741891  2.99093e-06 -0.00322871  4.71311 -0.09719  
312.431 -3.25999e-06 -0.00319975  5.31839 -0.0735693  2.94211e-06 -0.00319952  4.71262 -0.0961292  
315.259 -3.20107e-06 -0.00317107  5.31832 -0.0729599  2.89441e-06 -0.00317085  4.71214 -0.0950912  
318.086 -3.14374e-06 -0.0031429  5.31825 -0.0723604  2.84782e-06 -0.00314268  4.71167 -0.0940755  
320.914 -3.08794e-06 -0.00311522  5.31818 -0.0717707  2.80229e-06 -0.00311502  4.71122 -0.0930812  
323.741 -3.03362e-06 -0.00308803  5.31811 -0.0711906  2.7578e-06 -0.00308783  4.71078 -0.0921077  
326.569 -2.98072e-06 -0.00306131  5.31804 -0.0706197  2.71431e-06 -0.00306112  4.71035 -0.0911544  
329.396 -2.9292e-06 -0.00303504  5.31798 -0.070058  2.6718e-06 -0.00303486  4.70993 -0.0902206  
332.223 -2.87901e-06 -0.00300923  5.31792 -0.0695051  2.63024e-06 -0.00300905  4.70952 -0.0893057  
335.051 -2.8301e-06 -0.00298385  5.31785 -0.0689608  2.58961e-06 -0.00298367  4.70913 -0.0884093  
337.878 -2.78243e-06 -0.00295889  5.3178 -0.0684251  2.54987e-06 -0.00295872  4.70874 -0.0875306  
340.706 -2.73596e-06 -0.00293435  5.31774 -0.0678975  2.51101e-06 -0.00293418  4.70836 -0.0866692  
343.533 -2.69065e-06 -0.00291021  5.31768 -0.0673781  2.47299e-06 -0.00291005  4.70799 -0.0858246  
346.361 -2.64646e-06 -0.00288646  5.31763 -0.0668665  2.43581e-06 -0.00288631  4.70763 -0.0849963  
