0.1570796326795 2.56015329163 -0.0234368167664   1.441106864235 -0.02331880323233   
0.4712388980385 2.56553148245 -0.06918861161784   1.436060430996 -0.06883478023626   
0.7853981633974 2.575653725129 -0.111379826114   1.426501581099 -0.1112367423267   
1.099557428756 2.589308061119 -0.1484564392535   1.413587289619 -0.1488950811517   
1.413716694115 2.603463498599 -0.179307875093   1.398591188449 -0.1814186162177   
1.727875959474 2.620009719942 -0.2062337246548   1.381839986826 -0.2082848261781   
2.042035224833 2.631668221855 -0.2260803636822   1.366546905383 -0.2290823831806   
2.356194490192 2.647507923019 -0.2464389385438   1.351332759895 -0.2472380196089   
2.670353755551 2.663103999234 -0.2618429273545   1.336217736621 -0.2618932748331   
2.98451302091 2.675904484603 -0.2715106041252   1.321992123987 -0.2722576922143   
3.298672286269 2.686814068161 -0.2783032111376   1.309367448904 -0.2789466954609   
3.612831551628 2.697158423852 -0.284194007407   1.298605943565 -0.2831954251273   
3.926990816987 2.707345904403 -0.2893277211083   1.289531694312 -0.2860469217287   
4.241150082346 2.717066396803 -0.2930454588956   1.281741518227 -0.2880675683962   
4.555309347705 2.725845999149 -0.2948585485611   1.274819770477 -0.2894270574718   
4.869468613064 2.733397101834 -0.2947789520441   1.268461002903 -0.2900893090883   
5.183627878423 2.739700865969 -0.2932024670381   1.262500387009 -0.2899721072089   
5.497787143782 2.74493594754 -0.2906612593259   1.256888366332 -0.2890365470532   
5.811946409141 2.749367336266 -0.2876296599047   1.251644603058 -0.2873165606721   
6.1261056745 2.753257197419 -0.2844325815528   1.246813861314 -0.2849114121985   
6.440264939859 2.756815064113 -0.2812365151933   1.242434586953 -0.2819615723441   
6.754424205218 2.76018164987 -0.2780851813539   1.23852245216 -0.2786219179878   
7.068583470577 2.763433760836 -0.2749484610333   1.235066254206 -0.2750398934575   
7.382742735936 2.766599026963 -0.2717660528359   1.232031710805 -0.2713414342844   
7.696902001295 2.769672836283 -0.2684782501477   1.229368888613 -0.2676243925062   
8.011061266654 2.772633324681 -0.2650431538647   1.227020173409 -0.2639577205887   
8.325220532013 2.775452743494 -0.2614429906093   1.224927028571 -0.2603843154445   
8.639379797372 2.778105005382 -0.2576831768424   1.223034856616 -0.2569256967728   
8.953539062731 2.78056994777 -0.2537874547376   1.221295953179 -0.2535872020066   
9.26769832809 2.782835119236 -0.249791597157   1.219670876367 -0.2503628856478   
9.581857593449 2.784895893659 -0.2457372859711   1.218128657803 -0.2472397087851   
9.896016858808 2.786754590017 -0.2416670217558   1.216646258676 -0.2442008742078   
10.21017612417 2.78841910822 -0.2376203882184   1.215207597785 -0.2412283228898   
10.52433538953 2.789901429925 -0.2336316596674   1.213802391336 -0.2383044893928   
10.83849465488 2.791216199434 -0.2297285614028   1.212424966263 -0.2354134454143   
11.15265392024 2.792379499277 -0.2259319227884   1.211073147229 -0.2325415634825   
11.4668131856 2.793407865854 -0.2222559592335   1.209747272284 -0.2296778209614   
11.78097245096 2.794317546924 -0.2187089512069   1.208449361048 -0.2268138466005   
12.09513171632 2.795123978158 -0.2152941347574   1.207182438954 -0.2239437926599   
12.40929098168 2.795841444539 -0.2120106661454   1.205950008719 -0.2210640976218   
12.72345024704 2.796482889427 -0.2088545663456   1.204755653358 -0.2181731886981   
13.0376095124 2.797059835987 -0.2058195864716   1.203602751966 -0.2152711600991   
